regex to match day + hour + height 
^ \| ([0-9]*) ([0-9]*) \| ([0-9]*\.[0-9]*)

Location : 46232      (32.53N 117.42W)
  Model    : spectral resolution for points
  Cycle    : 20200515 18 UTC
 +-------+-----------+-----------------+-----------------+-----------------+-----------------+-----------------+-----------------+
 | day & |  Hst  n x |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |
 |  hour |  (m)  - - |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |
 +-------+-----------+-----------------+-----------------+-----------------+-----------------+-----------------+-----------------+
 | 16 17 | 1.58  6   |   1.36  8.5  99 |   0.34 11.8   8 |   0.23 14.5  48 |   0.18 16.0  22 |   0.60 19.6  27 |   0.28 16.7 353 |
 | 16 18 | 1.54  7 1 |   1.30  8.5  99 |   0.34 11.8   8 |   0.22 14.3  49 |   0.19 15.8  23 |   0.61 19.5  27 |   0.28 16.7 353 |
 | 16 19 | 1.51  6   |   1.27  8.4  99 |   0.33 11.8   9 |   0.21 14.1  52 |   0.22 15.6  25 |   0.63 19.4  27 |   0.28 16.6 353 |
 | 16 20 | 1.48  5   |   1.22  8.4  98 |   0.32 11.7   8 |                 |   0.28 15.0  38 |   0.65 19.2  27 |   0.28 16.6 353 |
 | 16 21 | 1.47  5   |   1.19  8.4  98 |   0.32 11.7   8 |                 |   0.28 14.9  38 |   0.66 19.0  27 |   0.29 16.5 353 |
 | 16 22 | 1.45  5   |   1.17  8.3  97 |   0.32 11.7   8 |                 |   0.29 14.8  37 |   0.67 18.9  27 |   0.29 16.5 353 |
 | 16 23 | 1.45  5   |   1.16  8.3  97 |   0.31 11.7   8 |                 |   0.29 14.7  36 |   0.69 18.8  27 |   0.29 16.4 353 |
 | 17  0 | 1.46  5   |   1.16  8.3  97 |   0.30 11.7   8 |                 |   0.29 14.7  36 |   0.70 18.7  27 |   0.30 16.3 353 |
 | 17  1 | 1.47  5   |   1.17  8.3  96 |   0.30 11.7   8 |                 |   0.29 14.6  36 |   0.71 18.6  27 |   0.30 16.1 353 |
 | 17  2 | 1.47  5   |   1.17  8.2  96 |   0.30 11.7   8 |                 |   0.29 14.6  35 |   0.72 18.4  27 |   0.29 15.9 354 |
 | 17  3 | 1.46  5   |   1.16  8.2  96 |   0.29 11.7   8 |                 |   0.29 14.6  35 |   0.72 18.3  27 |   0.29 15.8 353 |
 | 17  4 | 1.46  5   |   1.16  8.0  96 |   0.29 11.7   8 |                 |   0.29 14.6  35 |   0.73 18.2  27 |   0.29 15.7 353 |
 | 17  5 | 1.46  5   |   1.16  7.9  96 |   0.28 11.7   8 |                 |   0.29 14.6  35 |   0.73 18.1  26 |   0.29 15.7 354 |
 | 17  6 | 1.47  5   |   1.17  7.8  96 |   0.28 11.7   8 |                 |   0.29 14.6  35 |   0.74 18.1  26 |   0.28 15.6 353 |
 | 17  7 | 1.49  5   |   1.20  7.7  95 |   0.27 11.7   8 |                 |   0.25 14.3  39 |   0.75 18.0  26 |   0.27 15.6 353 |
 | 17  8 | 1.52  5   |   1.23  7.7  95 |   0.27 11.7   8 |                 |   0.26 14.4  38 |   0.76 17.9  26 |   0.27 15.5 353 |
 | 17  9 | 1.57  5   |   1.29  7.8  96 |   0.26 11.6   7 |                 |   0.25 14.2  39 |   0.76 17.9  26 |   0.27 15.5 353 |
 | 17 10 | 1.62  5   |   1.35  7.8  97 |   0.25 11.6   8 |                 |   0.25 14.2  38 |   0.77 17.8  26 |   0.27 15.4 353 |
 | 17 11 | 1.67  5   |   1.40  7.8  98 |   0.25 11.6   8 |                 |   0.26 14.1  38 |   0.78 17.8  26 |   0.27 15.4 353 |
 | 17 12 | 1.69  5   |   1.43  7.8  99 |   0.24 11.6   7 |                 |   0.27 13.9  36 |   0.78 17.7  26 |   0.26 15.3 354 |
 | 17 13 | 1.70  5   |   1.43  7.7  99 |   0.24 11.6   7 |                 |   0.27 13.8  36 |   0.79 17.6  26 |   0.26 15.2 354 |
 | 17 14 | 1.68  5   |   1.41  7.6  99 |   0.23 11.6   7 |                 |   0.28 13.8  35 |   0.79 17.5  26 |   0.26 15.1 354 |
 | 17 15 | 1.65  5   |   1.37  7.5  99 |   0.23 11.6   7 |                 |   0.28 13.8  35 |   0.80 17.4  26 |   0.26 14.9 354 |
 | 17 16 | 1.62  5   |   1.32  7.4  99 |   0.22 11.5   7 |                 |   0.29 13.8  35 |   0.80 17.2  26 |   0.25 14.8 354 |
 | 17 17 | 1.58  6   |   1.28  7.3  99 |   0.22 11.5   7 |   0.15 18.7 105 |   0.30 13.7  34 |   0.80 17.1  26 |   0.25 14.7 354 |
 | 17 18 | 1.55  6   |   1.24  7.2  98 |   0.22 11.5   7 |   0.17 18.7 105 |   0.28 13.7  34 |   0.81 17.0  26 |   0.25 14.7 354 |
 | 17 19 | 1.53  6   |   1.20  7.0  97 |   0.21 11.5   7 |   0.18 18.7 105 |   0.23 13.5  38 |   0.83 16.9  26 |   0.24 14.6 354 |
 | 17 20 | 1.51  6   |   1.17  6.9  97 |   0.21 11.4   7 |   0.19 18.7 105 |   0.24 13.5  38 |   0.83 16.9  26 |   0.24 14.6 354 |
 | 17 21 | 1.49  7 1 |   1.14  6.8  96 |   0.21 11.4   7 |   0.20 18.6 105 |   0.24 13.5  37 |   0.83 16.8  26 |   0.23 14.6 354 |
 | 17 22 | 1.48  7 1 |   1.11  6.6  96 |   0.21 11.3   7 |   0.22 18.4 105 |   0.24 13.5  37 |   0.83 16.8  25 |   0.23 14.5 354 |
 | 17 23 | 1.47  7 1 |   1.09  6.5  96 |   0.21 11.2   6 |   0.24 18.0 105 |   0.24 13.5  37 |   0.83 16.7  25 |   0.22 14.5 354 |
 | 18  0 | 1.46  7 1 |   1.07  6.4  96 |   0.20 11.2   7 |   0.25 17.9 105 |   0.24 13.5  37 |   0.84 16.7  25 |   0.22 14.4 354 |
 | 18  1 | 1.45  7 1 |   1.04  6.3  96 |   0.20 11.1   7 |   0.27 17.8 105 |   0.24 13.5  37 |   0.84 16.6  25 |   0.22 14.4 354 |
 | 18  2 | 1.45  7 1 |   1.02  6.1  97 |   0.20 11.1   7 |   0.28 17.7 105 |   0.24 13.4  37 |   0.84 16.6  25 |   0.21 14.3 354 |
 | 18  3 | 1.45  7 1 |   0.99  6.0  98 |   0.20 11.1   6 |   0.30 17.6 105 |   0.24 13.4  36 |   0.84 16.5  25 |   0.21 14.2 354 |
 | 18  4 | 1.45  7 1 |   0.97  5.9  99 |   0.20 11.0   6 |   0.32 17.5 105 |   0.24 13.4  36 |   0.84 16.5  25 |   0.21 14.1 354 |
 | 18  5 | 1.45  7 1 |   0.95  5.7 100 |   0.19 11.0   6 |   0.34 17.2 105 |   0.24 13.3  36 |   0.84 16.4  25 |   0.20 14.0 354 |
 | 18  6 | 1.45  7 1 |   0.92  5.6 101 |   0.19 11.0   6 |   0.36 16.9 105 |   0.25 13.3  36 |   0.84 16.4  25 |   0.20 13.9 354 |
 | 18  7 | 1.44  6 1 |   0.89  5.5 101 |   0.19 11.0   6 |   0.37 16.7 105 |                 |   0.88 16.3  26 |   0.20 13.8 354 |
 | 18  8 | 1.43  6   |   0.85  5.4 102 |   0.19 11.0   6 |   0.40 16.6 105 |   0.57 11.2 109 |   0.87 16.3  26 |   0.19 13.8 354 |
 | 18  9 | 1.42  6   |   0.80  5.3 101 |   0.18 10.9   6 |   0.42 16.5 105 |   0.60 11.1 109 |   0.87 16.2  26 |   0.19 13.7 354 |
